Trace
Swept SA
A.14.05,N9020A
5028601921.02455,-77.1310195922852
5029669156.88367,-61.7564239501953
5030736392.7428,-72.8571853637695
5031803628.60192,-61.0404205322266
5032870864.46105,-86.0094299316406
5033938100.32017,-61.8053131103516
5035005336.1793,-86.7875518798828
5036072572.03842,-63.173583984375
5037139807.89754,-77.9850387573242
5038207043.75667,-62.6758575439453
5039274279.6158,-80.7651290893555
5040341515.47492,-63.1489791870117
5041408751.33404,-74.7274475097656
5042475987.19317,-62.0750579833984
5043543223.05229,-81.2586517333984
5044610458.91142,-61.331859588623
5045677694.77054,-84.63330078125
5046744930.62967,-60.1770973205566
5047812166.48879,-75.4368667602539
5048879402.34792,-62.3589477539063
5049946638.20704,-82.5222091674805
5051013874.06617,-62.2654342651367
5052081109.92529,-84.7033233642578
5053148345.78442,-61.8536911010742
5054215581.64354,-83.12744140625
5055282817.50267,-61.744743347168
5056350053.36179,-83.7144775390625
5057417289.22092,-63.1666679382324
5058484525.08004,-87.5256805419922
5059551760.93917,-61.5974006652832
5060618996.79829,-85.9813995361328
5061686232.65742,-60.8747825622559
5062753468.51654,-75.9236221313477
5063820704.37567,-62.2254180908203
5064887940.23479,-80.6387939453125
5065955176.09392,-62.1473350524902
5067022411.95304,-78.4022064208984
5068089647.81217,-61.8076171875
5069156883.67129,-75.6438140869141
5070224119.53042,-61.8000907897949
5071291355.38954,-83.1245498657227
5072358591.24867,-62.640682220459
5073425827.10779,-84.9675979614258
5074493062.96692,-60.6649932861328
5075560298.82604,-81.1714706420898
5076627534.68517,-60.251049041748
5077694770.54429,-77.0064086914063
5078762006.40341,-60.5779190063477
5079829242.26254,-79.5057525634766
5080896478.12167,-65.4444885253906
5081963713.98079,-77.3154602050781
5083030949.83991,-62.8918762207031
5084098185.69904,-77.6577682495117
5085165421.55816,-61.917911529541
5086232657.41729,-73.8241577148438
5087299893.27641,-62.5247917175293
5088367129.13554,-77.7639770507813
5089434364.99466,-63.427848815918
5090501600.85379,-96.2753829956055
5091568836.71291,-60.1491203308105
5092636072.57204,-70.4789352416992
5093703308.43116,-59.1678009033203
5094770544.29029,-91.6059722900391
5095837780.14941,-64.7480010986328
5096905016.00854,-81.3578414916992
5097972251.86766,-56.5966415405273
5099039487.72679,-59.5469551086426
5100106723.58591,-52.9357452392578
5101173959.44504,-65.817253112793
5102241195.30416,-54.0916213989258
5103308431.16329,-72.1772155761719
5104375667.02241,-61.1453666687012
5105442902.88154,-85.7300033569336
5106510138.74066,-62.3850250244141
5107577374.59979,-79.456413269043
5108644610.45891,-58.0009536743164
5109711846.31804,-83.7835388183594
5110779082.17716,-58.7011680603027
5111846318.03629,-85.1694488525391
5112913553.89541,-62.7210960388184
5113980789.75454,-78.8620452880859
5115048025.61366,-62.3997497558594
5116115261.47279,-78.1769104003906
5117182497.33191,-62.0225486755371
5118249733.19104,-86.6895065307617
5119316969.05016,-63.8722076416016
5120384204.90928,-80.1594161987305
5121451440.76841,-58.5033187866211
5122518676.62753,-81.3189697265625
5123585912.48666,-60.6300468444824
5124653148.34578,-74.4816741943359
5125720384.20491,-60.1991996765137
5126787620.06403,-81.743408203125
5127854855.92316,-62.863166809082
5128922091.78228,-71.6584320068359
5129989327.64141,-61.2725868225098
5131056563.50053,-87.8114242553711
5132123799.35966,-62.0242500305176
5133191035.21878,-77.2722549438477
5134258271.07791,-62.8310317993164
5135325506.93703,-72.1451568603516
5136392742.79616,-59.8073234558105
5137459978.65528,-75.2295150756836
5138527214.51441,-61.0543365478516
5139594450.37353,-76.6672286987305
5140661686.23266,-59.6705703735352
5141728922.09178,-71.2592620849609
5142796157.95091,-58.234935760498
5143863393.81003,-77.4184646606445
5144930629.66916,-61.621955871582
5145997865.52828,-79.5965118408203
5147065101.38741,-60.157657623291
5148132337.24653,-80.2569198608398
5149199573.10566,-59.8685264587402
5150266808.96478,-78.9770889282227
5151334044.82391,-61.9848403930664
5152401280.68303,-78.8180389404297
5153468516.54216,-62.0661125183105
5154535752.40128,-74.1648559570313
5155602988.26041,-62.2113265991211
5156670224.11953,-80.2042617797852
5157737459.97865,-60.1458511352539
5158804695.83778,-79.0809707641602
5159871931.69691,-60.6783790588379
5160939167.55603,-83.3469772338867
5162006403.41515,-60.398063659668
5163073639.27428,-82.4022827148438
5164140875.1334,-61.6177558898926
5165208110.99253,-84.2878265380859
5166275346.85165,-63.2593002319336
5167342582.71078,-85.7390213012695
5168409818.5699,-60.1987228393555
5169477054.42903,-74.8815002441406
5170544290.28815,-63.3402709960938
5171611526.14728,-82.4451599121094
5172678762.0064,-60.2532348632813
5173745997.86553,-76.9526748657227
5174813233.72465,-61.1818923950195
5175880469.58378,-78.3766784667969
5176947705.4429,-62.1544723510742
5178014941.30203,-83.7393035888672
5179082177.16115,-61.926872253418
5180149413.02028,-88.3255386352539
5181216648.8794,-60.5505676269531
5182283884.73853,-81.4269256591797
5183351120.59765,-62.6872596740723
5184418356.45678,-92.2263107299805
5185485592.3159,-60.2188377380371
5186552828.17503,-84.6596374511719
5187620064.03415,-60.2741928100586
5188687299.89328,-79.6799392700195
5189754535.7524,-58.8920059204102
5190821771.61153,-75.3925476074219
5191889007.47065,-60.1298713684082
5192956243.32978,-75.8050842285156
5194023479.1889,-62.727367401123
5195090715.04803,-79.0926818847656
5196157950.90715,-62.9796829223633
5197225186.76628,-78.6357803344727
5198292422.6254,-58.9759788513184
5199359658.48452,-71.5504913330078
5200426894.34365,-57.2219200134277
5201494130.20278,-77.8278198242188
5202561366.0619,-59.1462135314941
5203628601.92102,-77.170280456543
5204695837.78015,-59.7535018920898
5205763073.63927,-73.8316955566406
5206830309.4984,-61.4213066101074
5207897545.35752,-83.2008972167969
5208964781.21665,-61.3252601623535
5210032017.07577,-90.8253631591797
5211099252.9349,-59.4205360412598
5212166488.79402,-75.6315155029297
5213233724.65315,-61.7857933044434
5214300960.51227,-78.2392959594727
5215368196.3714,-59.7928771972656
5216435432.23052,-74.9249649047852
5217502668.08965,-61.4121742248535
5218569903.94877,-77.345344543457
5219637139.8079,-59.8220024108887
5220704375.66702,-88.8664398193359
5221771611.52615,-60.6438903808594
5222838847.38527,-76.0927429199219
5223906083.2444,-62.7453079223633
5224973319.10352,-75.0493621826172
5226040554.96265,-61.6717948913574
5227107790.82177,-77.0530319213867
5228175026.6809,-59.7442893981934
5229242262.54002,-76.080940246582
5230309498.39915,-63.058349609375
5231376734.25827,-82.001823425293
5232443970.1174,-62.5132598876953
5233511205.97652,-85.825927734375
5234578441.83565,-62.4216232299805
5235645677.69477,-78.6414184570313
5236712913.5539,-58.7692184448242
5237780149.41302,-78.447624206543
5238847385.27215,-61.7672576904297
5239914621.13127,-86.1779174804688
5240981856.99039,-62.2995834350586
5242049092.84952,-76.242546081543
5243116328.70864,-60.2985801696777
5244183564.56777,-80.3238830566406
5245250800.42689,-60.7993049621582
5246318036.28602,-82.9316635131836
5247385272.14514,-65.1856384277344
5248452508.00427,-78.1790618896484
